run,step,sha256,source_sha256,source_solution_path,algo,local_score,public_score,signed_gap,absolute_gap,eval_metric,remote_status,exec_time,exec_time_seconds,artifact_dir,has_source_rerun,manual_status,manual_invalid_reason,profile,autogluon_presets,time_limit
2-vociferous-tortoise-of-perspective,13,4d2b8df1653886934840da10e99c2f363b03163a31c2949c1daec2c6c983e601,,,AG,0.9505372178696513,0.95016,0.0003772178696512807,0.0003772178696512807,balanced_accuracy,COMPLETE,0.8m,48.0,logs/2-vociferous-tortoise-of-perspective/artifacts/20260705T185601-aed64474-13,False,,,full_boost,medium_quality,600
2-romantic-guan-of-eternity,51,f658c401567a3af2b19f2defd5a949c75490deedd388482eea8e82c8bd36aafb,,,AG,0.9506458065366664,0.95012,0.000525806536666451,0.000525806536666451,balanced_accuracy,COMPLETE,0.9m,54.0,logs/2-romantic-guan-of-eternity/artifacts/20260707T214911-68e5d899-51,False,,,full_boost,medium_quality,600
2-romantic-guan-of-eternity,1,b07a3b527ab89743affa724b885ee944d16eb8516f882afdb7bf38699a201c8e,,,AG,0.9505605096463335,0.95009,0.0004705096463335501,0.0004705096463335501,balanced_accuracy,COMPLETE,1.0m,60.0,logs/2-romantic-guan-of-eternity/artifacts/20260707T204942-44959c9a-1,False,,,full_boost,medium_quality,600
2-vociferous-tortoise-of-perspective,55,1070897a05ac088919acd4c321348963dd2ef669c4a740b4209e212ebd5296d8,,,AG,0.9505643873155473,0.95008,0.00048438731554723,0.00048438731554723,balanced_accuracy,COMPLETE,1.0m,60.0,logs/2-vociferous-tortoise-of-perspective/artifacts/20260705T194210-61d3a1df-55,True,,,full_boost,medium_quality,600
2-romantic-guan-of-eternity,85,6ee4d20d42d03e2403efe04ab1167ec3225cc4e47b769fddcb265b40da479297,,,AG,0.9505685840184491,0.95007,0.0004985840184491552,0.0004985840184491552,balanced_accuracy,COMPLETE,0.8m,48.0,logs/2-romantic-guan-of-eternity/artifacts/20260707T222941-d7e0daa2-85,False,,,full_boost,medium_quality,600
2-romantic-guan-of-eternity,45,b6fa5e20095649338026dd3dd8474aa9d3213987771bf77ecd2c9dbd9fb4e307,,,AG,0.9505798346372331,0.95006,0.0005198346372330409,0.0005198346372330409,balanced_accuracy,COMPLETE,0.9m,54.0,logs/2-romantic-guan-of-eternity/artifacts/20260707T213739-97d2c309-45,False,,,full_boost,medium_quality,600
2-romantic-guan-of-eternity,28,d636c26363e211403d010b96fca7703e9d58cc2feab464064625ce55c78e76b7,,,AG,0.9506037644812914,0.95006,0.0005437644812913422,0.0005437644812913422,balanced_accuracy,COMPLETE,0.8m,48.0,logs/2-romantic-guan-of-eternity/artifacts/20260707T211343-90afe06f-28,False,,,full_boost,medium_quality,600
2-romantic-guan-of-eternity,35,213a41e609e22c1512a718d17443b70854b5644790eca225789d6b7a4696432e,,,AG,0.9505917678816777,0.95005,0.0005417678816777016,0.0005417678816777016,balanced_accuracy,COMPLETE,1.5m,90.0,logs/2-romantic-guan-of-eternity/artifacts/20260707T212101-51e3da8d-35,False,,,full_boost,medium_quality,600
2-romantic-guan-of-eternity,61,410377cff7972f590032f6e2d44791079f60b5f953b9bbdfcb119959935e1f13,,,AG,0.9506135864935853,0.95003,0.000583586493585253,0.000583586493585253,balanced_accuracy,COMPLETE,0.9m,54.0,logs/2-romantic-guan-of-eternity/artifacts/20260707T220208-99678541-61,False,,,full_boost,medium_quality,600
2-vociferous-tortoise-of-perspective,11,37d9182d5dbd3265f188b7f1684b2d10c63aed282e483fe824330fe216afae03,,,AG,0.9505184863878434,0.95003,0.0004884863878433787,0.0004884863878433787,balanced_accuracy,COMPLETE,0.8m,48.0,logs/2-vociferous-tortoise-of-perspective/artifacts/20260705T185031-5aa7eabc-11,False,,,full_boost,medium_quality,600
